"","Parcel","Year","Perennial Cover ≥10%","Species ≥3 Hits ≥6","Species Richness ≥10","All Transects ≥2%","Grass Species ≥1"
"1","LAW090","2022","✓ 11.9%","✓ 10 species","✓ 13 species","✓ 20/20","✓ 3 species"
"2","LAW090","2024","✗ 9.6%","✓ 8 species","✓ 13 species","✓ 20/20","✓ 2 species"
"3","LAW090","2025","✓ 10.1%","✓ 6 species","✓ 13 species","✓ 31/31","✓ 1 species"
"4","LAW094","2022","✗ 8.5%","✓ 8 species","✗ 9 species","✓ 20/20","✓ 11 species"
"5","LAW094","2024","✗ 8.4%","✗ 5 species","✓ 15 species","✓ 20/20","✓ 2 species"
"6","LAW094","2025","✗ 7.8%","✓ 7 species","✓ 13 species","✓ 21/21","✓ 8 species"
"7","LAW095","2022","✗ 8.8%","✓ 8 species","✓ 10 species","✓ 20/20","✓ 16 species"
"8","LAW095","2024","✗ 8.9%","✓ 7 species","✓ 15 species","✓ 19/20","✓ 2 species"
"9","LAW095","2025","✗ 5.7%","✗ 4 species","✓ 13 species","✓ 21/21","✓ 2 species"
"10","LAW129_118","2022","✗ 6.7%","✓ 6 species","✗ 9 species","✓ 20/20","✓ 2 species"
"11","LAW129_118","2023","✓ 15.3%","✗ 4 species","✓ 12 species","✓ 15/15","✓ 3 species"
"12","LAW129_118","2025","✗ 5.8%","✗ 5 species","✗ 6 species","✓ 15/15","NA NA species"
